Individual,Year,Earnings,Group
7,9,27375.513050372734,JL
7,10,28219.492441098886,JL
7,11,28676.167393345422,JL
8,1,29030.61818001581,JL
8,2,30226.27863952459,JL
8,3,31488.508235433343,JL
8,4,31788.81474361697,JL
8,5,32637.19357836953,JL
8,6,23097.820384796174,JL
8,7,23431.51574821656,JL
8,8,23741.814293421074,JL
8,9,24323.058336122238,JL
8,10,25106.188579107828,JL
8,11,26221.79896303296,JL
9,1,30200.33923226071,JL
9,2,31634.0680195795,JL
9,3,32519.806508959973,JL
9,4,33386.770850063316,JL
9,5,33724.42340182014,JL
9,6,25152.138677732895,JL
9,7,25804.115022049904,JL
9,8,27089.162097980683,JL
9,9,27676.600976803267,JL
9,10,27945.848232579297,JL
9,11,28798.352909296264,JL
10,1,29570.324916215362,JL
10,2,30383.267085120504,JL
10,3,31609.09326014949,JL
10,4,32103.26266506529,JL
10,5,33386.61272034449,JL
10,6,24313.67283245871,JL
10,7,25429.903570751416,JL
10,8,25957.76244705901,JL
10,9,27443.33030515708,JL
10,10,28089.53772370874,JL
10,11,28851.837662902446,JL
11,1,29080.157410126147,JL
11,2,29782.125346615263,JL
11,3,31069.34970977914,JL
11,4,31577.914619031806,JL
11,5,32422.800382611502,JL
11,6,23919.27971708077,JL
11,7,25072.280772265087,JL
11,8,25975.576943935903,JL
11,9,27023.472133779138,JL
11,10,27875.693623226794,JL
11,11,28172.52902985533,JL
12,1,30401.975888380402,JL
12,2,31140.316939881224,JL
12,3,32548.103216967716,JL
12,4,33905.08136702432,JL
12,5,34077.19447585492,JL
12,6,25614.860070041064,JL
12,7,26488.123585076544,JL
12,8,28107.399144077885,JL
12,9,28795.818284167693,JL
12,10,29833.562501366254,JL
12,11,31136.44326688169,JL
13,1,30002.334144615317,JL
13,2,31748.08905892241,JL
13,3,32951.4984247368,JL
13,4,33531.22160936288,JL
13,5,33919.24077417708,JL
13,6,23966.86607586118,JL
13,7,24570.061083426164,JL
13,8,25651.850039364734,JL
13,9,26489.771028364674,JL
13,10,27095.98744448329,JL
13,11,28996.869139992727,JL
14,1,29556.36228179156,JL
14,2,30267.19441238698,JL
14,3,32200.475366702576,JL
14,4,33955.710237398394,JL
14,5,34791.03408992482,JL
14,6,25806.810894032456,JL
14,7,27652.84432168169,JL
14,8,28316.262531842352,JL
14,9,29529.57368737957,JL
14,10,30560.44267987751,JL
14,11,30120.61081939439,JL
15,1,29273.006608301373,JL
15,2,29728.93606352456,JL
15,3,30823.38096459067,JL
15,4,31996.538325090256,JL
15,5,34347.804011937544,JL
15,6,25470.00940220401,JL
15,7,25759.818292517277,JL
15,8,26835.890746545017,JL
15,9,27004.663274418006,JL
15,10,28132.85073919783,JL
15,11,29892.74469701944,JL
16,1,30826.232381231795,JL
16,2,31368.283567641567,JL
16,3,32458.112431400226,JL
16,4,33729.71975109701,JL
16,5,34828.832010281665,JL
16,6,25707.29644842252,JL
16,7,26030.317773434443,JL
16,8,26033.097699132377,JL
16,9,27291.100729047816,JL
16,10,28226.2435509772,JL
16,11,29242.702412458177,JL
17,1,32183.91038564156,JL
17,2,33579.70299749037,JL
17,3,35546.25379988599,JL
17,4,37622.78541479926,JL
17,5,38384.468131214126,JL
17,6,29153.11610977971,JL
17,7,30609.24567511314,JL
17,8,31282.712576424652,JL
17,9,32226.53792370768,JL
17,10,32846.422446890276,JL
17,11,33011.848529177296,JL
18,1,29889.71345045789,JL
18,2,30545.873061958817,JL
18,3,31109.231887698956,JL
18,4,31884.351909675923,JL
18,5,32817.787806528526,JL
18,6,24044.409525899187,JL
18,7,24208.653792871082,JL
18,8,25843.483442706223,JL
18,9,27188.8876600857,JL
18,10,28247.173449694565,JL
18,11,30054.13683565635,JL
19,1,29628.91041871681,JL
19,2,30328.16049871897,JL
19,3,31964.333715708963,JL
19,4,33594.95427738818,JL
19,5,34649.78388043968,JL
19,6,25738.404917601583,JL
19,7,27359.49160612428,JL
19,8,28256.014048829093,JL
19,9,30009.452682381187,JL
19,10,31465.443903844523,JL
19,11,32203.147981136175,JL
20,1,30381.649147844862,JL
20,2,31465.991967243448,JL
20,3,32624.25448802647,JL
20,4,35010.335286264366,JL
20,5,36118.78661090934,JL
20,6,27030.122007169586,JL
20,7,27226.5713635426,JL
20,8,28149.031019213682,JL
20,9,29198.186437230765,JL
20,10,29740.15480031392,JL
20,11,29939.363840397054,JL
21,1,29934.031326176446,JL
21,2,30466.411448492137,JL
21,3,32135.74343761258,JL
21,4,32855.77963247967,JL
21,5,34239.9415371104,JL
21,6,24785.43039310695,JL
21,7,26161.91989682803,JL
21,8,27532.94939953981,JL
21,9,28349.969200410324,JL
21,10,29963.01713771701,JL
21,11,31399.505771555218,JL
22,1,29986.63212477267,JL
22,2,30923.5919308941,JL
22,3,31957.30823168927,JL
22,4,32775.681986305266,JL
22,5,33521.61775337023,JL
22,6,24317.31498851552,JL
22,7,25523.6200443782,JL
22,8,26462.526199982545,JL
22,9,27152.871970631473,JL
22,10,28168.044325490235,JL
22,11,29223.3067214081,JL
23,1,30491.757032588182,JL
23,2,31284.466371513445,JL
23,3,32797.623624768814,JL
23,4,33403.95326106647,JL
23,5,34451.44478767902,JL
23,6,25483.724724250467,JL
23,7,26702.407359572437,JL
23,8,28265.470648429542,JL
23,9,29209.149210944484,JL
23,10,30428.554185330187,JL
23,11,31291.483454269404,JL
24,1,30586.128527749443,JL
24,2,31483.033422576234,JL
24,3,33164.46539480446,JL
24,4,34023.78145929311,JL
24,5,35212.665252311206,JL
24,6,26169.344979287445,JL
24,7,26998.26723844398,JL
24,8,28632.408338105455,JL
24,9,29143.513256182327,JL
24,10,30819.881581105503,JL
24,11,32342.265421816992,JL
25,1,29985.148866545216,JL
25,2,31071.72557332631,JL
25,3,31863.73030059591,JL
25,4,32504.234077705594,JL
25,5,33689.99025505429,JL
25,6,24775.237098583286,JL
25,7,25564.331861961535,JL
25,8,25790.541908053452,JL
25,9,27140.40303647014,JL
25,10,26715.859144076927,JL
25,11,27604.06326120688,JL
26,1,30291.45045721769,JL
26,2,31797.496828244926,JL
26,3,33915.253485665955,JL
26,4,34425.24448675384,JL
26,5,36220.112523309996,JL
26,6,26491.59893543216,JL
26,7,27442.55893695402,JL
26,8,29109.67066857012,JL
26,9,29534.48861178418,JL
26,10,30112.895890202424,JL
26,11,31132.935120125007,JL
27,1,30056.72060290814,JL
27,2,30220.908394520935,JL
27,3,31446.52385761585,JL
27,4,32294.844846101532,JL
27,5,33048.90878401526,JL
27,6,24009.019441049597,JL
27,7,24797.954014936815,JL
27,8,25947.940922462567,JL
27,9,27400.909868576375,JL
27,10,28118.577598945663,JL
27,11,30069.77040211612,JL
28,1,31004.212213324947,JL
28,2,32606.26049163367,JL
28,3,33760.65182224986,JL
28,4,35289.24980276654,JL
28,5,36949.14649632566,JL
28,6,27558.76261172715,JL
28,7,28517.991642421915,JL
28,8,30139.980585975565,JL
28,9,31198.494803753467,JL
28,10,32673.804834062576,JL
28,11,34924.61710730227,JL
29,1,29800.031128809333,JL
29,2,31005.82762351892,JL
29,3,31982.47424193266,JL
29,4,33849.605265841135,JL
29,5,34648.57178115676,JL
29,6,25401.669052325236,JL
29,7,26197.71966265032,JL
29,8,26511.680993823797,JL
29,9,27299.51364881877,JL
29,10,27977.328716476608,JL
29,11,28569.20067105668,JL
30,1,30730.02581218253,JL
30,2,31402.507494872567,JL
30,3,32592.59778903021,JL
30,4,33414.02399754484,JL
30,5,34045.133691084295,JL
30,6,24694.203932357846,JL
30,7,25468.91731188024,JL
30,8,27527.671141048664,JL
30,9,29008.5985930729,JL
30,10,30280.687896840842,JL
30,11,30914.96140870198,JL
31,1,29062.28278261423,JL
31,2,30349.021136547886,JL
31,3,32362.750923537384,JL
31,4,33408.2183909881,JL
31,5,34666.5541462704,JL
31,6,25763.92638998736,JL
31,7,25484.834980376385,JL
31,8,26896.52951041728,JL
31,9,27336.879560215304,JL
31,10,28278.41785976038,JL
31,11,29944.456828235507,JL
32,1,31488.163727655778,JL
32,2,31945.07729045032,JL
32,3,33238.11030720909,JL
32,4,33630.40338409639,JL
32,5,35171.82351361895,JL
32,6,24701.971617607374,JL
32,7,25879.055969515117,JL
32,8,26841.54975589981,JL
32,9,28624.789956843757,JL
32,10,29491.14239572825,JL
32,11,30259.21947126992,JL
33,1,29336.48281442523,JL
33,2,30821.082375337744,JL
33,3,31377.997845712824,JL
33,4,32216.74535342651,JL
33,5,32949.14837447866,JL
33,6,24492.177459062586,JL
33,7,25332.4755146487,JL
33,8,26326.622338830854,JL
33,9,27704.569565301696,JL
33,10,28006.794029793942,JL
33,11,28690.265063137955,JL
34,1,29992.376407211133,JL
34,2,30630.86414936497,JL
34,3,31825.805965356587,JL
34,4,33436.75277574804,JL
34,5,34596.10362062649,JL
34,6,25121.33952590687,JL
34,7,25578.41790876655,JL
34,8,25957.457368535746,JL
34,9,26918.692923253457,JL
34,10,27974.411518123416,JL
34,11,29340.561299605837,JL
35,1,30010.79868496885,JL
35,2,31097.976319820464,JL
35,3,31778.465504797194,JL
35,4,33018.823002425874,JL
35,5,33799.682938214,JL
35,6,24920.25199024346,JL
35,7,25515.5822378552,JL
35,8,25888.064008954418,JL
35,9,27819.656750223527,JL
35,10,27830.850186527376,JL
35,11,28900.17685248299,JL
36,1,30316.763063355327,JL
36,2,31564.19146969065,JL
36,3,31769.779050517576,JL
36,4,32719.54274408637,JL
36,5,33753.21421782379,JL
36,6,24478.950076763256,JL
36,7,24835.947701416957,JL
36,8,26255.86877297265,JL
36,9,26502.0008963973,JL
36,10,27182.459683202404,JL
36,11,28723.81730514152,JL
37,1,28176.679410439814,JL
37,2,28393.308806061767,JL
37,3,29812.729959783155,JL
37,4,29810.246089075226,JL
37,5,30794.308000103603,JL
37,6,22076.4611121512,JL
37,7,23624.873807557673,JL
37,8,24365.28011501741,JL
37,9,24830.179488721347,JL
37,10,25741.354347614353,JL
37,11,26284.996543375306,JL
38,1,30171.0006512177,JL
38,2,30998.260996683643,JL
38,3,33221.69940048264,JL
38,4,34034.927129475866,JL
38,5,34982.212338993624,JL
38,6,26361.165112304065,JL
38,7,27569.57951087096,JL
38,8,28567.3336389797,JL
38,9,29541.287252087317,JL
38,10,30418.081498056985,JL
38,11,31067.013322250557,JL
39,1,29903.58092767727,JL
39,2,31300.383060192828,JL
39,3,33051.57059792259,JL
39,4,35150.1471273719,JL
39,5,36071.89665055225,JL
39,6,27130.628724597456,JL
39,7,27460.291563345338,JL
39,8,28681.067325361502,JL
39,9,29471.37802648592,JL
39,10,30596.85302095186,JL
39,11,31958.6247135556,JL
40,1,28915.07719418184,JL
40,2,29599.366220545264,JL
40,3,31300.2122436547,JL
40,4,32644.928579229363,JL
40,5,33491.33118513416,JL
40,6,24536.075929759318,JL
40,7,24352.225875896907,JL
40,8,25805.2383960835,JL
40,9,27019.498740028546,JL
40,10,27695.38318084653,JL
40,11,27879.007439057237,JL
41,1,29432.732441803644,JL
41,2,31123.960788297278,JL
41,3,32865.02097908377,JL
41,4,34455.56461423074,JL
41,5,35320.11424332959,JL
41,6,26746.412271269848,JL
41,7,28006.839620319322,JL
41,8,29574.049707780658,JL
41,9,30037.83468343583,JL
41,10,30958.156700757594,JL
41,11,31187.678446898473,JL
42,1,29991.13969838342,JL
42,2,31668.247428478368,JL
42,3,33239.31825391895,JL
42,4,33450.19942283534,JL
42,5,34091.29850745502,JL
42,6,25785.327823614996,JL
42,7,26922.952929205338,JL
42,8,28628.719797147478,JL
42,9,29886.43814178056,JL
42,10,31920.128046803955,JL
42,11,32884.68867976628,JL
43,1,29202.207927140782,JL
43,2,30537.239925874095,JL
43,3,31640.3791289054,JL
43,4,32075.81642817415,JL
43,5,32986.203030785575,JL
43,6,23320.66787213643,JL
43,7,23979.572704177335,JL
43,8,24652.90500120531,JL
43,9,24921.58346189187,JL
43,10,26035.737508806298,JL
43,11,25905.554967586537,JL
44,1,29898.044844844073,JL
44,2,30623.773468040603,JL
44,3,31071.996265245056,JL
44,4,31972.261490563094,JL
44,5,32847.90653394028,JL
44,6,23866.497108719363,JL
44,7,25175.416585133044,JL
44,8,25259.535221077702,JL
44,9,25908.144751784283,JL
44,10,27427.422820606054,JL
44,11,27699.671391284235,JL
45,1,31325.111154609127,JL
45,2,30772.42370142403,JL
45,3,32179.126217614616,JL
45,4,33040.73701407696,JL
45,5,34321.06704408717,JL
45,6,25249.852682275872,JL
45,7,26316.1761018842,JL
45,8,27268.39669443467,JL
45,9,27526.613707097094,JL
45,10,28604.31324077689,JL
45,11,29139.225559929317,JL
46,1,30370.05160170662,JL
46,2,31207.858560797373,JL
46,3,32201.998409348016,JL
46,4,32575.4097705682,JL
46,5,33452.7979144406,JL
46,6,24892.80295809096,JL
46,7,25337.964988479158,JL
46,8,26259.316160823786,JL
46,9,27425.604117654388,JL
46,10,29207.07375836461,JL
46,11,30877.214273487883,JL
47,1,31118.413572005364,JL
47,2,32024.320570490236,JL
47,3,32501.84188498267,JL
47,4,34229.71075210518,JL
47,5,34902.38056145556,JL
47,6,26354.88896419725,JL
47,7,26980.213350263944,JL
47,8,28955.56241747249,JL
47,9,29882.780218719898,JL
47,10,30376.852334235922,JL
47,11,31385.04515272876,JL
48,1,29698.477234324382,JL
48,2,30301.566637023425,JL
48,3,30846.065079554257,JL
48,4,31269.75401654608,JL
48,5,32843.76858504932,JL
48,6,24316.3216947715,JL
48,7,26179.781642283913,JL
48,8,27428.238099874306,JL
48,9,27921.720822657655,JL
48,10,30093.685086703223,JL
48,11,31458.11074497812,JL
49,1,27792.190699572166,JL
49,2,27777.934510853116,JL
49,3,29564.068160935632,JL
49,4,29433.6137740246,JL
49,5,30471.639451922118,JL
49,6,21587.221746944844,JL
49,7,22230.31180603939,JL
49,8,23529.289952061175,JL
49,9,24624.494782076054,JL
49,10,26234.340063188647,JL
49,11,28125.150866877215,JL
50,1,31038.977082762347,JL
50,2,31995.295528912135,JL
50,3,31970.33873572052,JL
50,4,32824.3439450723,JL
50,5,34284.93136562331,JL
50,6,24676.115407200083,JL
50,7,26045.488457613843,JL
50,8,26971.988138830027,JL
50,9,27941.643763982138,JL
50,10,28821.321083749568,JL
50,11,29612.62119760034,JL
51,1,29685.58636619736,JL
51,2,31371.36278367699,JL
51,3,32603.957335396102,JL
51,4,33661.06267928777,JL
51,5,34109.08599382772,JL
51,6,24926.37846549711,JL
51,7,25957.849221890203,JL
51,8,27156.08740264106,JL
51,9,27797.034718433744,JL
51,10,27735.751778700276,JL
51,11,28179.885174127387,JL
52,1,30626.683852815535,JL
52,2,31891.980134614292,JL
52,3,32279.56325292804,JL
52,4,33688.37029802568,JL
52,5,34770.22484343755,JL
52,6,26146.65893105182,JL
52,7,27220.295933037753,JL
52,8,27887.35841072853,JL
52,9,28193.638271925483,JL
52,10,28891.893203395015,JL
52,11,30903.07697014162,JL
53,1,28546.1037102899,JL
53,2,30261.211170009763,JL
53,3,31258.12053131893,JL
53,4,32514.024720120706,JL
53,5,33900.674646271225,JL
53,6,25213.538631923737,JL
53,7,25598.797892434988,JL
53,8,27071.72710779011,JL
53,9,28360.351281537616,JL
53,10,29144.940467507746,JL
53,11,29905.960725287296,JL
54,1,29369.954401869305,JL
54,2,29607.00972204629,JL
54,3,30741.75191689863,JL
54,4,33138.62507259366,JL
54,5,33482.919463232014,JL
54,6,23329.708533832785,JL
54,7,23913.606037303216,JL
54,8,24998.064319979858,JL
54,9,25315.988964282245,JL
54,10,26008.55140954834,JL
54,11,27267.121825435468,JL
55,1,30890.70644038809,JL
55,2,31684.472830340394,JL
55,3,32453.037875216916,JL
55,4,33233.33152542354,JL
55,5,34323.72428980192,JL
55,6,24744.060697670007,JL
55,7,25153.581014295924,JL
55,8,26552.577371782103,JL
55,9,26099.617482015437,JL
55,10,27012.516858632673,JL
55,11,28177.9377634212,JL
56,1,30292.127529130186,JL
56,2,31056.169191861558,JL
56,3,31682.05795298779,JL
56,4,33326.07149378441,JL
56,5,34572.45562425376,JL
56,6,26436.45245900955,JL
56,7,27153.749337619774,JL
56,8,27020.60489299269,JL
56,9,28989.505160485285,JL
56,10,29323.369277891685,JL
56,11,30829.10163769677,JL
57,1,29783.50751880372,JL
57,2,30124.24441534654,JL
57,3,31030.26192630471,JL
57,4,31427.720909805157,JL
57,5,32927.51379919678,JL
57,6,24263.15228669918,JL
57,7,25162.150972929157,JL
57,8,24951.83312422403,JL
57,9,25984.477860869163,JL
57,10,26845.160766530706,JL
57,11,27315.101838833325,JL
58,1,29863.796397631155,JL
58,2,31312.088761733827,JL
58,3,31927.831397566435,JL
58,4,33906.95788753213,JL
58,5,34290.335043509294,JL
58,6,25525.908896012577,JL
58,7,26662.192426520174,JL
58,8,27506.59263063431,JL
58,9,28481.82970729225,JL
58,10,29825.790344555862,JL
58,11,30202.023337158305,JL
59,1,29700.913393842267,JL
59,2,30674.873193672807,JL
59,3,31892.578047640698,JL
59,4,33453.37784217724,JL
59,5,34192.57399596471,JL
59,6,25184.83711309152,JL
59,7,26124.244414683424,JL
59,8,26673.80702775708,JL
59,9,27798.81085963904,JL
59,10,29022.406620868038,JL
59,11,30482.049664987022,JL
60,1,29963.534006132297,JL
60,2,31163.819558257135,JL
60,3,32410.174919373738,JL
60,4,33674.72743950776,JL
60,5,35045.91964818935,JL
60,6,25866.230803720704,JL
60,7,27037.699949161684,JL
60,8,28234.638691546177,JL
60,9,29257.09727059051,JL
60,10,29449.088819056535,JL
60,11,30386.907433390068,JL
61,1,29271.937801347252,JL
61,2,30420.017958186047,JL
61,3,31429.28570789581,JL
61,4,32511.231287128594,JL
61,5,32850.13125978641,JL
61,6,24222.789211665426,JL
61,7,25642.73571219706,JL
61,8,26506.098618013308,JL
61,9,27530.858736952247,JL
61,10,28847.633253190255,JL
61,11,29953.264634346488,JL
62,1,29757.5535305724,JL
62,2,30365.02169826079,JL
62,3,31146.616022355047,JL
62,4,31039.512682965244,JL
62,5,31203.631430034897,JL
62,6,22062.44914483624,JL
62,7,22691.85412442205,JL
62,8,22985.08143262623,JL
62,9,24556.33578227186,JL
62,10,24889.46805302471,JL
62,11,25233.94499516023,JL
63,1,29186.959863534918,JL
63,2,30136.54458612056,JL
63,3,31265.019484346398,JL
63,4,33148.12707526469,JL
63,5,34513.703569341866,JL
63,6,25469.803893575845,JL
63,7,27330.27658265243,JL
63,8,28585.907187621047,JL
63,9,28767.616834887143,JL
63,10,29581.57690621761,JL
63,11,30576.249900822804,JL
64,1,31407.972856829103,JL
64,2,32682.566835499285,JL
64,3,32790.776667332975,JL
64,4,34233.42025931698,JL
64,5,35701.16920073981,JL
64,6,26712.69566611491,JL
64,7,28319.803466642716,JL
64,8,29173.55103204156,JL
64,9,30019.602953381207,JL
64,10,30432.284984256694,JL
64,11,30371.273032719935,JL
65,1,30052.03372257196,JL
65,2,30725.177268480635,JL
65,3,31933.22878207528,JL
65,4,32960.04355968329,JL
65,5,34371.4755462842,JL
65,6,24638.48585002845,JL
65,7,25679.32206175103,JL
65,8,26477.558043281366,JL
65,9,27709.140584137218,JL
65,10,28725.82350775039,JL
65,11,29375.07095048716,JL
66,1,29120.566173737087,JL
66,2,31064.266773399177,JL
66,3,31672.475005417175,JL
66,4,32931.00198769157,JL
66,5,34105.51644538701,JL
66,6,24070.40843910711,JL
66,7,25275.400813790126,JL
66,8,25982.249188663776,JL
66,9,26265.115168810527,JL
66,10,26663.03527775678,JL
66,11,27611.81832295331,JL
67,1,30189.24442194072,JL
67,2,30885.755327217004,JL
67,3,32435.89502996089,JL
67,4,34051.26723917556,JL
67,5,35764.92960270904,JL
67,6,26982.15005967499,JL
67,7,28200.654267295417,JL
67,8,29543.763332516988,JL
67,9,31169.000768430877,JL
67,10,31617.683652868516,JL
67,11,32124.135886985423,JL
68,1,30791.137784769315,JL
68,2,31149.91087251584,JL
68,3,32486.736205315803,JL
68,4,32286.98937870224,JL
68,5,32691.11227206474,JL
68,6,23714.026699018254,JL
68,7,23887.478802556474,JL
68,8,24691.799232907924,JL
68,9,26848.134963855362,JL
68,10,28296.12114357143,JL
68,11,29803.48652548424,JL
69,1,28956.272674520937,JL
69,2,30382.27367369215,JL
69,3,31603.08298023261,JL
69,4,31846.784322100295,JL
69,5,32872.68200290124,JL
69,6,23898.039454941456,JL
69,7,25221.99880182476,JL
69,8,26281.394046553145,JL
69,9,27272.60615684781,JL
69,10,28198.196765482982,JL
69,11,28817.995040089427,JL
70,1,30023.27782845313,JL
70,2,29957.98240513548,JL
70,3,31206.200873334215,JL
70,4,32888.13464364082,JL
70,5,33917.812976131274,JL
70,6,23763.436453562008,JL
70,7,24672.721374309895,JL
70,8,25408.30584777183,JL
70,9,27193.665081306524,JL
70,10,28405.73623411592,JL
70,11,29374.523097538855,JL
71,1,29402.148162126752,JL
71,2,30176.22797576988,JL
71,3,31072.074877617702,JL
71,4,31657.555708619264,JL
71,5,32844.929464527944,JL
71,6,24087.293375626614,JL
71,7,25287.413584382884,JL
71,8,25555.900956514928,JL
71,9,26359.83799167677,JL
71,10,26590.057222420168,JL
71,11,27500.447136762465,JL
72,1,31777.79660994312,JL
72,2,32458.280694140045,JL
72,3,33814.241598623244,JL
72,4,34679.16397309435,JL
72,5,35930.2191827154,JL
72,6,27492.441791193585,JL
72,7,28847.09106825839,JL
72,8,30446.8585641214,JL
72,9,32668.26497563237,JL
72,10,33683.304826577696,JL
72,11,34624.79140764348,JL
73,1,29518.556656106233,JL
73,2,30481.463261355148,JL
73,3,30784.069857678907,JL
73,4,32650.77021248306,JL
73,5,33937.358468649836,JL
73,6,24903.180562693604,JL
73,7,26410.31971947872,JL
73,8,26779.04820236673,JL
73,9,28074.67432092972,JL
73,10,28883.569726926045,JL
73,11,30119.73596703901,JL
74,1,30219.192792434864,JL
74,2,31106.687905162933,JL
74,3,32849.63952464665,JL
74,4,34172.93261392191,JL
74,5,34893.87151958743,JL
74,6,26389.348142700175,JL
74,7,27595.824627172748,JL
74,8,27232.011757838118,JL
74,9,28377.503230248512,JL
74,10,29326.37767919237,JL
74,11,30327.770529740035,JL
75,1,29671.441788843753,JL
75,2,31275.99766825712,JL
75,3,32279.39448567037,JL
75,4,33922.210891144634,JL
75,5,35200.204555814315,JL
75,6,26787.015321852075,JL
75,7,27505.513620750946,JL
75,8,29029.44984977341,JL
75,9,30083.64241948533,JL
75,10,30529.081811923206,JL
75,11,30621.14971693372,JL
76,1,30198.775413318053,JL
76,2,32027.820472953066,JL
76,3,31948.985534652136,JL
76,4,33493.64896845661,JL
76,5,34280.89298772071,JL
76,6,25805.677108278163,JL
76,7,25471.08977944535,JL
76,8,27041.88793068346,JL
76,9,26684.325461937548,JL
76,10,27904.197288174757,JL
76,11,28934.180203120908,JL
77,1,30425.290240241826,JL
77,2,30821.100781683985,JL
77,3,30805.04193199206,JL
77,4,31319.29658624262,JL
77,5,33079.680267858574,JL
77,6,23955.45519416918,JL
77,7,25321.411907760335,JL
77,8,26340.86883129216,JL
77,9,28005.409320161853,JL
77,10,29065.39608437954,JL
77,11,29938.49146113698,JL
78,1,31303.39865971191,JL
78,2,32544.064609727488,JL
78,3,34427.27655565975,JL
78,4,35352.09269224095,JL
78,5,35740.39108076404,JL
78,6,27396.526595096802,JL
78,7,28179.875865548456,JL
78,8,29904.239820193994,JL
78,9,30582.44600268508,JL
78,10,31072.380498302555,JL
78,11,32466.36030822015,JL
79,1,29381.84665640216,JL
79,2,30994.129190540712,JL
79,3,31108.972477790263,JL
79,4,31225.052389878736,JL
79,5,32296.030949952532,JL
79,6,23454.287219964408,JL
79,7,24464.85011568546,JL
79,8,25295.40077458227,JL
79,9,26823.59342525797,JL
79,10,28216.284979214157,JL
79,11,29488.455930871332,JL
80,1,30466.543004601415,JL
80,2,31167.49699939599,JL
80,3,31497.69392637252,JL
80,4,33086.78557584797,JL
80,5,33950.08963258043,JL
80,6,24471.26774380283,JL
80,7,25366.172448105306,JL
80,8,26263.949789675236,JL
80,9,26679.79581388465,JL
80,10,27072.7787732043,JL
80,11,28248.8907770541,JL
81,1,30633.019714358936,JL
81,2,31602.656949628865,JL
81,3,32272.827348225983,JL
81,4,33183.67735288896,JL
81,5,34347.66335096743,JL
81,6,25638.943650839024,JL
81,7,27155.816315787408,JL
81,8,27345.232954988103,JL
81,9,28569.06170504508,JL
81,10,29120.725413643057,JL
81,11,29403.574120027835,JL
82,1,31100.323468522543,JL
82,2,32009.75825306599,JL
82,3,32548.181062854244,JL
82,4,33767.29317791552,JL
82,5,33927.64640742494,JL
82,6,25358.053789532525,JL
82,7,26752.661040831656,JL
82,8,28518.141213474282,JL
82,9,29949.054280006727,JL
82,10,31305.978897557732,JL
82,11,32670.03192810537,JL
83,1,31097.108896658374,JL
83,2,31979.42888847461,JL
83,3,33831.20955453484,JL
83,4,33978.5629105347,JL
83,5,35250.0268432671,JL
83,6,26421.75995091598,JL
83,7,26851.925481020633,JL
83,8,27614.203297947,JL
83,9,29043.775373889435,JL
83,10,29546.211286379967,JL
83,11,30028.2791938191,JL
84,1,28850.796026373202,JL
84,2,29854.36596385248,JL
84,3,30956.757519701176,JL
84,4,32293.753680441987,JL
84,5,33559.05042887773,JL
84,6,24660.47342867709,JL
84,7,25928.005898705076,JL
84,8,27113.922942654128,JL
84,9,27609.319062926963,JL
84,10,28605.033149960494,JL
84,11,29409.096464367616,JL
85,1,27061.44190877259,JL
85,2,29047.742982082193,JL
85,3,30435.714080722868,JL
85,4,31757.36635039464,JL
85,5,32093.75917287074,JL
85,6,22844.981682173857,JL
85,7,23752.909729264735,JL
